unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12392650,JE263726,2021-06-12 07:09:00.000000 UTC,009XX W 87TH ST,2026,NARCOTICS,POSSESS - PCP,SIDEWALK,true,false,2222,22,21,71,18,1171361.0,1847140.0,2021,2021-06-19 04:54:35.000000 UTC,41.736014283,-87.647779415,"(41.736014283, -87.647779415)"
12264156,JE106552,2021-01-08 05:25:00.000000 UTC,059XX N PULASKI RD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA PARKING LOT / GARAGE / OTHER PROPERTY,true,false,1711,17,39,13,14,1148651.0,1939289.0,2021,2021-01-16 03:49:23.000000 UTC,41.989348626,-87.728603541,"(41.989348626, -87.728603541)"
12296630,JE146404,2021-02-19 08:10:00.000000 UTC,047XX N KIMBALL AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA TRAIN,true,false,1713,17,33,14,26,1152858.0,1931371.0,2021,2021-02-26 03:47:53.000000 UTC,41.967538619,-87.713340244,"(41.967538619, -87.713340244)"
12423806,JE301882,2021-07-15 12:11:00.000000 UTC,044XX N PULASKI RD,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,SIDEWALK,true,false,1722,17,39,14,26,1148930.0,1929120.0,2021,2021-07-22 05:10:18.000000 UTC,41.961438803,-87.727841701,"(41.961438803, -87.727841701)"
12657984,JF192483,2021-03-25 03:32:00.000000 UTC,043XX N BERNARD ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,true,false,1723,17,33,16,17,,,2021,2023-05-26 04:46:47.000000 UTC,,,
12510260,JE407465,2021-10-12 05:02:00.000000 UTC,044XX N LAWNDALE AVE,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,true,false,1723,17,35,14,18,1150919.0,1929404.0,2021,2021-10-19 04:48:47.000000 UTC,41.962179319,-87.720521526,"(41.962179319, -87.720521526)"
12456707,JE341996,2021-08-18 08:20:00.000000 UTC,011XX N HONORE ST,041A,BATTERY,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1212,12,1,24,04B,1163859.0,1907611.0,2021,2022-03-18 04:45:06.000000 UTC,41.90211425,-87.673563003,"(41.90211425, -87.673563003)"
12466518,JE353919,2021-08-29 08:44:00.000000 UTC,005XX N ASHLAND AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,true,false,1215,12,1,24,26,1165629.0,1903882.0,2021,2021-09-05 04:46:49.000000 UTC,41.891844067,-87.667167913,"(41.891844067, -87.667167913)"
12301549,JE152445,2021-02-23 12:00:00.000000 UTC,013XX W RANDOLPH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,true,true,1224,12,27,28,08A,1167730.0,1901073.0,2021,2021-04-04 04:57:48.000000 UTC,41.884090949,-87.659532917,"(41.884090949, -87.659532917)"
12472610,JE361593,2021-09-04 04:32:00.000000 UTC,061XX S ASHLAND AVE,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",COMMERCIAL / BUSINESS OFFICE,true,false,714,7,16,67,08A,1166724.0,1863979.0,2021,2021-11-08 03:49:27.000000 UTC,41.782322899,-87.66428794,"(41.782322899, -87.66428794)"
12333846,JE191704,2021-04-06 09:11:00.000000 UTC,004XX S HALSTED ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,true,false,1232,12,25,28,04B,1171119.0,1898086.0,2021,2021-04-13 05:27:07.000000 UTC,41.875820724,-87.647175913,"(41.875820724, -87.647175913)"
12376894,JE244194,2021-05-26 10:28:00.000000 UTC,014XX S EMERALD AVE,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,true,false,1232,12,11,28,18,1171578.0,1893367.0,2021,2021-06-02 05:19:00.000000 UTC,41.862861362,-87.645629453,"(41.862861362, -87.645629453)"
